건물명,주소,층,거래일,거래금액,면적,평,건축년도,위도,경도,평당보증금,평당월세,평당보증금평균,평당월세평균
길동우성, 길동 400,6층,2020 12 8,"    36,500/         0",57.1,17.3,1994,37.5371499032943,127.144285452448,2109.8265895953755,0.0,1567.0833339139697,0.8486504220990964
드림하이츠, 길동 416-13,10층,2020 6 24,"    10,000/        30",30.19,9.1,2015,37.5368148510119,127.13573291766899,1098.901098901099,3.296703296703297,1409.8660447975183,1.8053375196232342
강동렘브란트, 길동 457-1,14층,2020 12 17,"    13,000/         0",15.86,4.8,2014,37.53505287748921,127.137267345221,2708.3333333333335,0.0,1572.3958333333335,4.0625
에이치비골드빌(103동), 길동 384-5,3층,2020 12 2,"    36,000/         0",62.39,18.9,2004,37.538048590699,127.13604401257099,1904.7619047619048,0.0,1715.663664326876,0.0
한전우성1, 길동 332,6층,2020 11 18,"    36,700/         0",81.54,24.7,1989,37.5433517719734,127.144168625895,1485.82995951417,0.0,1443.4008097165993,0.29149797570850206
희훈리치파크1, 길동 472,3층,2020 1 7,"    32,000/         0",84.05,25.4,2002,37.5393516196494,127.13942750985001,1259.8425196850394,0.0,1259.8425196850394,0.0
광남캐스빌(389-9), 길동 389-9,10층,2020 1 7,"    33,000/         0",68.46,20.7,2005,37.5376531396944,127.13935015771999,1594.2028985507247,0.0,1594.2028985507247,0.0
백천이스트하임, 길동 366-13,3층,2020 12 18,"     1,000/        55",17.39,5.3,2012,37.5394114944766,127.141243192274,188.67924528301887,10.377358490566039,1109.1989771235058,5.642822586218814
청광플러스원큐브2차, 길동 457,14층,2020 11 18,"     3,000/        40",14.495,4.4,2013,37.5351295486941,127.136944443085,681.8181818181818,9.09090909090909,1537.1900826446288,5.010330578512396
다성이즈빌, 길동 456-4,17층,2020 12 30,"    22,000/         0",20.85,6.3,2018,37.5352928895866,127.137046592432,3492.063492063492,0.0,3557.441922883789,0.0
강동큐브(2차), 길동 415-13,14층,2020 12 21,       500/        48,12.52,3.8,2013,37.536621994842,127.136160411395,131.57894736842107,12.631578947368421,1008.5318642916694,7.676414240859987
강동와이시티, 길동 414-4,11층,2020 12 17,"     1,000/        50",13.97,4.2,2014,37.536490380928505,127.137446437365,238.09523809523807,11.904761904761905,700.2442002441999,9.48107448107448
한솔브리즈, 길동 415-11,11층,2020 4 25,"    33,000/         0",84.89,25.7,2004,37.5372184937645,127.136381584762,1284.046692607004,0.0,1272.723529532868,0.0
현대1, 길동 470,10층,2020 12 15,"    61,000/         0",84.87,25.7,1996,37.536561845134,127.14736997611999,2373.5408560311284,0.0,1746.8172979063681,0.05815644082582145
e편한세상강동에코포레, 길동 477,5층,2020 12 12,"    84,000/         0",84.97,25.7,2020,37.541270379815295,127.148189692707,3268.4824902723735,0.0,1746.7506373068875,1.0790566070571224
삼익세라믹, 길동 184,8층,2020 12 23,"    38,800/         0",84.85,25.7,1992,37.538255571002004,127.14864325910901,1509.727626459144,0.0,1466.682879377432,0.12159533073929961
광남벨라스613V, 길동 385-3,3층,2020 12 19,"    10,000/       125",84.13,25.4,2004,37.538204869964794,127.136714466234,393.7007874015748,4.921259842519685,1272.9658792650919,1.6404199475065617
우성, 길동 382-6,6층,2020 11 30,"    24,000/        15",48.3,14.6,1996,37.5388677803514,127.137329940201,1643.8356164383563,1.0273972602739727,1380.4540842212075,0.9845890410958904
율전에버그린아파트, 길동 394-17,8층,2020 10 8,"    21,000/         0",34.83,10.5,2016,37.5369349582862,127.140766517606,2000.0,0.0,1855.421686746988,1.2048192771084336
다성이즈빌, 길동 388-7,11층,2020 11 12,"     1,000/       100",39.92,12.1,2015,37.5379806718556,127.138739787029,82.64462809917356,8.264462809917356,1802.1984794712068,1.6570247933884297
한빛골드빌1차, 길동 384-1,15층,2020 12 28,"    52,000/         0",72.41,21.9,2001,37.5385092015354,127.13644743105101,2374.4292237442924,0.0,1358.447844963256,1.494738138573755
에이치비골드빌(102동), 길동 384-4,5층,2020 12 3,"    36,000/         0",64.19,19.4,2004,37.5382280716076,127.136215281182,1855.6701030927836,0.0,1441.8262150220914,1.399116347569956
현대1차아파트, 둔촌동 30-4,5층,2020 12 31,"    67,600/         0",84.36,25.5,1984,37.531770253809704,127.14657777525801,2650.9803921568628,0.0,919.3028322440085,0.6448801742919389
신동아파밀리에, 둔촌동 555,20층,2020 12 31,"    70,000/         0",83.99,25.4,2002,37.529225689061796,127.141590028211,2755.9055118110236,0.0,1850.024372046907,0.3512890220665727
둔촌푸르지오, 둔촌동 630,14층,2020 12 30,"    39,000/         0",59.98,18.1,2010,37.53415360713429,127.146362090965,2154.696132596685,0.0,2194.3317886069867,0.6134708941117301
프라자, 둔촌동 603,10층,2020 11 11,"    60,000/         0",83.4,25.2,1984,37.5354252309403,127.148219196781,2380.952380952381,0.0,1292.5875294296345,0.3458456747930432
둔촌하이츠, 둔촌동 545,10층,2020 12 8,"    70,000/         0",84.54,25.6,1998,37.52951263261271,127.142418668085,2734.375,0.0,1855.5325537833162,0.3467965354180266
신성둔촌미소지움1, 둔촌동 546,16층,2020 12 19,"    50,000/         0",59.78,18.1,1998,37.5278007087623,127.14283772493,2762.430939226519,0.0,1944.7817560130866,0.3372278794482164
그랜드1, 둔촌동 518-1,3층,2020 1 11,"    43,000/         0",107.96,32.7,2003,37.52886259667871,127.13823411683599,1314.9847094801223,0.0,1314.9847094801223,0.0
세양청마루, 둔촌동 426,2층,2020 12 2,"    45,000/         0",84.08,25.4,2005,37.5332604740042,127.14062948877701,1771.6535433070867,0.0,1683.0789592951733,0.29527559055118113
청호 뜨레피움 퍼스트 아파트, 둔촌동 64,3층,2020 12 16,"    45,000/         0",56.65,17.1,2016,37.5335651267632,127.14196701447399,2631.578947368421,0.0,2040.7397183712974,0.28409090909090906
현대수린나아파트, 둔촌동 632,2층,2020 2 18,"    10,000/       110",84.8282,25.7,2019,37.532822816378705,127.14560333705,389.1050583657588,4.280155642023346,1509.727626459144,1.1673151750972761
동아, 둔촌동 94-16,7층,2020 10 23,"    33,000/         0",54.22,16.4,1992,37.5288103767777,127.144124087564,2012.1951219512198,0.0,1510.0371213813826,0.684931506849315
현대4, 둔촌동 89,14층,2020 11 26,"    80,000/         0",114.9,34.8,1996,37.529629312214,127.143832794805,2298.8505747126437,0.0,1594.7060603350017,0.6245247998568809
한솔솔파크, 둔촌동 611,8층,2020 11 16,"    80,000/         0",106.79,32.3,2003,37.5338597698859,127.14811753452899,2476.780185758514,0.0,1935.155575181731,0.0
현대2, 둔촌동 70-5,7층,2020 11 13,"    49,000/         0",59.19,17.9,1988,37.5293667121044,127.140514867027,2737.4301675977654,0.0,1673.0437194731928,0.20933014354066987
청원파크빌, 둔촌동 90,3층,2020 10 10,"    30,000/        40",84.78,25.6,2003,37.531754157926,127.143364348665,1171.875,1.5625,1725.1337548638132,0.390625
대의아름누리, 암사동 671,5층,2020 1 2,"    25,000/         0",80.64,24.4,2010,37.5530084877922,127.14152342458401,1024.5901639344263,0.0,1024.5901639344263,0.0
롯데캐슬퍼스트, 암사동 414-2,17층,2020 12 26,"    30,000/        50",59.99,18.1,2008,37.5566604361524,127.143274755323,1657.4585635359115,2.762430939226519,2067.106511598924,1.11553034052312
프라이어팰리스, 암사동 413,18층,2020 12 8,"    27,000/        97",84.988,25.7,2007,37.5535231302074,127.139444241807,1050.5836575875487,3.77431906614786,2108.474950099324,0.7046551181576609
선사현대아파트, 암사동 509,2층,2020 12 30,"    32,550/         0",59.64,18.0,2000,37.5522585400206,127.126386204991,1808.3333333333333,0.0,1823.9386718533767,0.7731091306664201
한강현대, 암사동 442-1,15층,2020 12 19,"    20,000/        60",59.94,18.1,1999,37.5552105414674,127.13192501820299,1104.9723756906076,3.3149171270718227,1633.005314820824,0.9109467568868718
삼성광나루, 암사동 508,3층,2020 12 12,"    46,200/         0",84.88,25.7,2002,37.5540313737891,127.127005941044,1797.6653696498056,0.0,1861.7871756093755,0.5362507067460566
대명, 암사동 447-8,4층,2020 12 15,"    19,000/         0",59.992,18.1,1987,37.555258447659,127.135761601661,1049.7237569060774,0.0,851.1744120210907,0.7433618608733816
라움(492-45), 암사동 492-45,2층,2020 1 7,"    31,000/         0",67.64,20.5,2006,37.5502061863375,127.13178206128799,1512.1951219512196,0.0,1512.1951219512196,0.0
한건브리앙, 암사동 497-6,5층,2020 1 8,"    35,000/         0",84.9,25.7,2004,37.5511805740963,127.130104476019,1361.8677042801557,0.0,1361.8677042801557,0.0
우암쎈스뷰, 암사동 463-18,3층,2020 5 2,"    10,000/        75",76.05,23.0,2003,37.5534291399115,127.129624997665,434.7826086956522,3.260869565217391,753.871991043105,2.488803881321142
힐스테이트암사, 암사동 675,19층,2020 11 28,"    56,700/         0",59.8917,18.1,2019,37.548894788165995,127.12539682616999,3132.5966850828727,0.0,2016.3495153471933,0.4165434432863545
한강포스파크, 암사동 445,9층,2020 11 25,"    30,000/        40",59.75,18.1,2002,37.556259238536896,127.134227956567,1657.4585635359115,2.209944751381215,1633.6374783543126,0.7847498484669031
암사동한솔, 암사동 419,7층,2020 4 15,"    42,000/         0",84.73,25.6,2002,37.5520290130224,127.140302875627,1640.625,0.0,744.140625,2.59765625
유진, 암사동 504-1,2층,2020 8 26,"    42,000/         0",82.34,24.9,2003,37.5538097296491,127.128116840434,1686.7469879518073,0.0,1566.265060240964,0.0
현대홈타운, 암사동 400,16층,2020 12 6,"    50,000/         0",59.97,18.1,2004,37.556580200438496,127.13850084644301,2762.430939226519,0.0,2050.576316142995,0.4593479828573871
암사라인, 암사동 442,2층,2020 11 6,"    42,000/         0",84.87,25.7,1996,37.5552148515602,127.131294522049,1634.2412451361868,0.0,1789.234760051881,0.2777777777777778
대은팰리스뷰(101), 암사동 503-31,6층,2020 1 21,"    39,000/         0",84.9,25.7,2007,37.5518951915736,127.12733446309099,1517.5097276264592,0.0,1517.5097276264592,0.0
금정우리가, 암사동 451-16,3층,2020 11 21,"     3,000/        79",29.4676,8.9,2018,37.5553307349718,127.137522777838,337.07865168539325,8.876404494382022,2230.084242090368,1.3898570814861397
다성이즈빌, 암사동 488-10,5층,2020 1 23,"    35,000/         0",84.91,25.7,2011,37.547808968681295,127.13448811224701,1361.8677042801557,0.0,1361.8677042801557,0.0
라움, 성내동 439-2,4층,2020 12 8,"     8,000/        50",41.14,12.4,2004,37.5251935377276,127.13390357203899,645.1612903225806,4.032258064516129,1533.665050283072,0.576036866359447
코오롱2, 성내동 595,11층,2020 12 10,"    46,200/         0",84.91,25.7,2002,37.5324594705236,127.12175438145901,1797.6653696498056,0.0,1736.1177413091864,0.2594033722438392
성내동삼성아파트, 성내동 590,14층,2020 12 21,"    49,500/         0",84.99,25.7,1999,37.5306564522331,127.12593960546002,1926.070038910506,0.0,1841.381281398197,0.8533422377388241
성내2차e-편한세상, 성내동 137,12층,2020 9 15,"    10,000/       150",84.9,25.7,2004,36.1211139444171,128.123001933018,389.1050583657588,5.836575875486382,1401.941221964986,1.408057041720709
한양립스, 성내동 244-5,11층,2020 12 22,"     2,000/        40",12.33,3.7,2014,35.9599391385972,128.921602866473,540.5405405405405,10.81081081081081,1327.5039745627976,7.313195548489666
성내스테이, 성내동 549-5,5층,2020 8 19,"    49,500/         0",52.57,15.9,2018,37.528212743115795,127.12585992681801,3113.2075471698113,0.0,3638.268637583624,0.0
건영아모리움, 성내동 244-6,10층,2020 9 25,"    13,000/         0",11.9815,3.6,2017,37.5342268071233,127.13564255272699,3611.111111111111,0.0,3087.866792705502,2.1367521367521367
이안강동, 성내동 25-1,12층,2020 3 22,"    40,000/         0",77.49,23.4,2006,37.752234804981896,128.892508374228,1709.4017094017095,0.0,1500.1089941052248,0.7122507122507122
에스케이허브진, 성내동 194,3층,2020 12 30,"    25,000/         0",33.71,10.2,2004,37.5351830870005,127.132584320207,2450.9803921568628,0.0,1606.3371312453928,3.036623019665387
SM엘루이, 성내동 379-17,4층,2020 12 23,"    16,800/         0",14.83,4.5,2019,37.5330318177847,127.137540213267,3733.3333333333335,0.0,3573.1558916001572,0.0
성안마을청구, 성내동 295,16층,2020 12 31,"    39,900/         0",59.93,18.1,2002,35.110985306881396,128.756521270132,2204.419889502762,0.0,2042.6717227318136,0.46621159373739385
코오롱(1차), 성내동 196-8,1층,2020 12 21,"    29,000/        30",59.96,18.1,1999,37.5343796098472,127.132407145479,1602.209944751381,1.6574585635359114,1745.9754004228735,0.936131277862348
성내동대성, 성내동 51,9층,2020 10 17,"    62,000/         0",84.98,25.7,2003,35.1154716111505,128.765008444951,2412.4513618677042,0.0,1760.4484405698752,0.8523366339096214
다성이즈빌, 성내동 551-4,4층,2020 11 13,"     2,000/        60",25.92,7.8,2014,37.528707573444294,127.122973222357,256.4102564102564,7.6923076923076925,1673.5779943327113,1.8401409910843876
올림픽파크한양수자인, 성내동 606,15층,2020 12 29,"    81,900/         0",115.88,35.1,2016,37.5267592933536,127.12820415814699,2333.333333333333,0.0,2244.32317941462,1.0222590734912393
중앙하이츠, 성내동 410-2,1층,2020 10 28,"    50,000/         0",84.95,25.7,2001,37.5305518099104,127.133511638542,1945.5252918287938,0.0,1820.3995284646778,0.0
미랜드프레임빌, 성내동 420-20,10층,2020 1 11,"    47,000/         0",92.43,28.0,2006,37.5299018330145,127.131165239103,1678.5714285714287,0.0,1678.5714285714287,0.0
하나플러스, 성내동 448-14,6층,2020 7 11,"    25,000/        50",59.86,18.1,2003,37.5240334374282,127.13000790757,1381.2154696132595,2.762430939226519,1611.418047882136,1.8416206261510126
성내1차e-편한세상, 성내동 598,12층,2020 12 22,"    20,000/        35",84.49,25.6,2003,37.5332389978482,127.130930336131,781.25,1.3671875,1725.8286771704443,0.4112830528846154
메이저, 성내동 429-6,6층,2020 7 31,"    46,000/         0",82.72,25.0,2001,37.5258776996619,127.134159741281,1840.0,0.0,1701.303501945525,0.0
현대, 성내동 30-2,3층,2020 12 30,"    32,000/         0",59.36,18.0,1987,36.1260756597464,128.119126800407,1777.7777777777778,0.0,1633.816409778681,0.3147759993224932
동아2, 성내동 424-12,7층,2020 12 18,"    20,000/        35",59.04,17.9,1996,37.5282446709543,127.13319003417601,1117.31843575419,1.9553072625698324,1474.0456238361267,0.651405377094972
파크프라자, 성내동 428-2,11층,2020 12 30,"    47,000/        10",72.33,21.9,2003,37.5269297238472,127.13471610301501,2146.1187214611873,0.4566210045662101,1335.8722599024413,0.6144522372846177
일심, 성내동 396-10,7층,2020 7 9,"    30,000/         0",47.03,14.2,2001,35.1132441304024,128.749686270786,2112.6760563380285,0.0,1680.6959403479705,0.0
동아1, 성내동 419-13,3층,2020 12 14,"    55,000/         0",75.02,22.7,1997,37.528848177403496,127.13295445145599,2422.9074889867843,0.0,1781.126485455788,0.7227196508803233
집앤사 베니아파트, 성내동 542-1,3층,2020 8 24,"    20,810/        30",59.57,18.0,2019,37.5281187626764,127.127512521084,1156.111111111111,1.6666666666666667,1533.333333333333,2.0185185185185186
씨제이나인, 성내동 164-1,8층,2020 8 31,"    45,000/         0",83.14,25.1,2006,37.5358290604442,127.131340659249,1792.828685258964,0.0,1708.7206728640988,0.0
아이퍼스트빌, 성내동 199-18,16층,2020 12 28,"    15,225/         0",15.94,4.8,2012,37.5342675580887,127.134527900294,3171.875,0.0,2149.665178571429,3.9285714285714284
둔촌역청구, 성내동 419-1,11층,2020 10 12,"    45,000/         0",59.87,18.1,1999,35.1116641066444,128.7499980466,2486.187845303867,0.0,1854.7430688422153,0.4012421981927754
광남캐스빌(443-26), 성내동 443-26,4층,2020 10 15,"    30,000/        40",62.43,18.9,2009,37.5241364052496,127.132440843934,1587.3015873015875,2.1164021164021167,1864.2501416302039,0.3023431594860167
파라디아, 성내동 605,12층,2020 12 4,"    56,000/         0",115.49,34.9,2010,37.5318520850007,127.122874120348,1604.5845272206304,0.0,1795.0118738363083,0.0
강동네스빌, 성내동 444-4,3층,2020 7 20,       500/        30,55.4,16.8,2002,37.5247880164753,127.131908658574,29.76190476190476,1.7857142857142856,1331.0243340209092,0.4464285714285714
그랜드밸리아파트, 천호동 34-1,3층,2020 1 1,"    10,000/         0",80.07,24.2,2003,37.546578664756204,127.14154454846701,413.22314049586777,0.0,413.22314049586777,0.0
현진리버파크, 천호동 467-11,3층,2020 12 2,"    16,400/         0",14.9,4.5,2017,37.542181969696294,127.120819885699,3644.4444444444443,0.0,3387.031408308005,0.2127659574468085
태천아파트, 천호동 35-12,4층,2020 4 6,"    36,000/         0",84.75,25.6,2003,37.5464367209254,127.140810414827,1406.25,0.0,1074.21875,0.9765625
두산위브센티움, 천호동 414,7층,2020 12 3,"    15,500/         0",31.37,9.5,2004,37.539455974322,127.12696142811899,1631.578947368421,0.0,1099.2645698454912,1.9184798077855745
유원아파트, 천호동 287-9,12층,2020 12 28,"    32,000/        30",55.98,16.9,1997,37.5487768363151,127.12783279062599,1893.4911242603553,1.775147928994083,1549.5868746764754,0.6941283568502504
래미안강동팰리스, 천호동 571,23층,2020 12 29,"    73,500/         0",84.97,25.7,2017,37.5371873549015,127.13195833971399,2859.922178988327,0.0,2810.338356854362,1.273788157841601
집앤사스윗사이드아파트, 천호동 328-1,6층,2020 10 27,"    18,400/         0",14.02,4.2,2019,37.545820961872,127.122441008644,4380.952380952381,0.0,4307.862679955702,0.0
동아하이빌아파트, 천호동 217-132,2층,2020 12 11,"     5,000/        87",59.98,18.1,2000,37.5447125157242,127.13410720175501,276.2430939226519,4.806629834254143,1483.1053945087526,0.8691592711950861
하이브2, 천호동 164-70,13층,2020 12 28,"     1,000/        57",13.5,4.1,2013,37.5372131327462,127.13325958060301,243.90243902439028,13.902439024390246,1385.648639095087,8.352269858102309
우정에쉐르(101동), 천호동 163-34,6층,2020 12 24,"    59,000/         0",84.24,25.5,2004,37.5379213995595,127.133558361984,2313.725490196078,0.0,1675.1712348536714,0.0
삼성, 천호동 528,5층,2020 12 7,"    63,000/         0",114.65,34.7,1997,37.53870500448139,127.135184967332,1815.5619596541785,0.0,1722.8492145235696,0.11333050007083155
천호e-편한세상, 천호동 333-55,11층,2020 12 3,"    49,350/         0",84.95,25.7,2005,37.5442889191228,127.124333049811,1920.2334630350194,0.0,1609.274753481775,1.1067086247516786
고려아파트(C동), 천호동 22-11,5층,2020 9 23,"    34,000/         0",80.08,24.2,2001,37.5500183046398,127.14127060304199,1404.9586776859505,0.0,1589.0041615380107,0.0
천호현대아이파크, 천호동 565,11층,2020 12 9,"    65,000/         0",117.36,35.5,1999,37.5360966336675,127.133772743816,1830.9859154929577,0.0,1824.0812506076452,0.2924926876828079
중앙하이츠, 천호동 305,12층,2020 12 23,"    43,000/         0",59.85,18.1,1998,37.5473904930207,127.12995368996599,2375.6906077348062,0.0,1718.070812821119,0.8287292817679557
한신아파트, 천호동 237,4층,2020 12 12,"     5,000/        67",46.9,14.2,1991,37.5458367411101,127.134871205898,352.11267605633805,4.71830985915493,1212.7817396801274,1.0089478661404285
강동상떼빌, 천호동 450,10층,2020 12 16,"    60,000/         0",119.7,36.2,2007,37.5370177691469,127.13043428092699,1657.4585635359115,0.0,1552.70926467294,0.23923444976076558
우성, 천호동 19-1,4층,2020 12 29,"    51,000/         0",64.53,19.5,1985,37.5497629441538,127.13875719844101,2615.3846153846152,0.0,1334.5566914845851,0.5615599745585155
현대아파트, 천호동 168-6,2층,2020 12 28,"    26,700/         0",60.76,18.4,1990,37.5384238971396,127.13279588235599,1451.0869565217392,0.0,1884.7445749865876,0.11189258312020461
대우한강베네시티, 천호동 425-5,20층,2020 12 15,"    40,000/       120",130.13,39.4,2007,37.540576595957106,127.124914365859,1015.2284263959391,3.0456852791878175,1391.4531847213111,1.1027142159011691
대명사이버아파트, 천호동 49-8,1층,2020 12 12,"    45,000/         0",84.62,25.6,2001,37.5434624977445,127.140025111941,1757.8125,0.0,1539.8982923154194,0.5524861878453038
강변그대가갤럭시, 천호동 570,9층,2020 10 7,"    58,000/        65",84.99,25.7,2009,37.546635866615894,127.122752426066,2256.809338521401,2.529182879377432,2017.827364408799,0.6809338521400778
다성이즈빌(320), 천호동 320,3층,2020 12 5,"    53,000/         0",48.82,14.8,2017,37.5476384891063,127.12367077657301,3581.081081081081,0.0,2605.4440154440153,0.0
율전에버그린아파트, 천호동 54-7,5층,2020 4 20,       400/        25,78.73,23.8,2005,37.5419831950709,127.13902823512501,16.80672268907563,1.050420168067227,764.7058823529412,0.5252100840336135
천호동이연아마빌레아파트, 천호동 291-50,7층,2020 11 16,"    32,400/         0",65.71,19.9,2002,37.5473729254618,127.132593041593,1628.140703517588,0.0,1566.7972597146386,0.0
금호아파트, 천호동 44,13층,2020 12 25,"    25,000/         0",27.61,8.4,1987,37.544811659955,127.142187172898,2976.190476190476,0.0,1388.6394557823128,1.8809523809523807
강동역신동아파밀리에, 천호동 447-17,15층,2020 11 18,"   100,000/         0",101.25,30.6,2015,37.536541514456204,127.133247128988,3267.97385620915,0.0,1988.9866805307981,1.5936133583192404
제일아파트, 천호동 361-1,3층,2020 11 26,"    48,000/         0",77.61,23.5,1995,37.544431668254106,127.127553792886,2042.5531914893618,0.0,1789.2715802672308,0.0
천호롯데아파트, 천호동 55-4,6층,2020 9 28,"    35,000/         0",59.99,18.1,1999,37.5416061482602,127.138241164662,1933.7016574585634,0.0,1379.837472709053,0.48342541436464087
강동역두산위브센티움, 천호동 155-5,14층,2020 12 21,"    37,800/         0",59.96,18.1,2004,37.5372129402328,127.13469959942499,2088.3977900552486,0.0,1919.686691377019,0.7594936708860759
우정에쉐르(102동), 천호동 163-14,4층,2020 6 26,"    30,000/         0",61.73,18.7,2004,37.537959655068,127.13325829733499,1604.2780748663101,0.0,1731.729055258467,0.0
현진에스페랑스, 천호동 166-109,2층,2020 9 2,"    17,000/         0",80.32,24.3,2004,37.5380902334086,127.130929920314,699.5884773662551,0.0,1006.423767941383,0.9023386530161599
태천해오름아파트, 천호동 52-17,12층,2020 9 17,"    40,000/         0",84.24,25.5,2002,37.5419199330915,127.140539563409,1568.6274509803923,0.0,1549.712449918447,0.0
천호엘크루, 천호동 427-3,9층,2020 1 22,"    68,000/         0",144.5,43.7,2008,37.5401693914456,127.124528197579,1556.0640732265445,0.0,835.2402745995422,2.2883295194508007
한건브리앙아파트, 천호동 338-20,4층,2020 12 22,"    33,075/         0",63.21,19.1,2004,37.5427981781533,127.122340980737,1731.675392670157,0.0,1697.9848385689354,0.0
즈믄촌, 천호동 334,1층,2020 11 26,"    31,500/         0",84.4,25.5,2002,37.5434707619967,127.12444746758601,1235.2941176470588,0.0,1109.8039215686274,0.6274509803921569
성인아파트, 천호동 32-2,5층,2020 11 3,"    51,000/         0",78.8,23.8,2002,37.5477614328194,127.14215765854799,2142.8571428571427,0.0,1611.4885994176827,0.0
강일리버파크6단지, 강일동 684,13층,2020 12 31,"     5,139/         9",39.9,12.1,2009,37.5638876367294,127.17642148776599,424.7107438016529,0.7438016528925621,1017.733150820462,0.6084536014136982
강일리버파크10단지, 강일동 695,13층,2020 12 28,"    15,263/         0",59.92,18.1,2009,37.560062652635004,127.18071357443701,843.2596685082872,0.0,964.7805137007098,0.5856498588853907
강일리버파크3단지, 강일동 674,9층,2020 12 29,"     2,799/        22",39.9,12.1,2009,37.5668026129383,127.17459652903,231.3223140495868,1.8181818181818183,948.2697622047137,0.7069617658298168
강일리버파크1단지, 강일동 665,5층,2020 12 17,"     9,526/        14",59.87,18.1,2009,37.5676285909328,127.172125947105,526.2983425414365,0.7734806629834253,1249.6612906949988,0.7051152931246163
강일리버파크2단지, 강일동 668,11층,2020 12 18,"     4,767/        29",59.87,18.1,2009,37.569421196347704,127.176075368962,263.37016574585635,1.6022099447513811,1166.098963273164,0.3515874017212069
강일리버파크9단지, 강일동 699,11층,2020 12 21,"     7,928/        12",59.87,18.1,2009,37.5600493056873,127.178791537642,438.01104972375686,0.6629834254143646,753.7432532505092,0.6950335173066459
강일리버파크8단지, 강일동 701,10층,2020 12 23,"     3,811/        25",49.9,15.1,2009,37.561435624724396,127.176976697817,252.38410596026492,1.6556291390728477,1101.5150464934522,0.42157774596018704
고덕리엔파크2단지, 강일동 717,6층,2020 12 31,"     4,801/        33",59.9,18.1,2011,37.559786196473,127.173178258829,265.2486187845304,1.8232044198895025,1112.066939319315,0.7420688253032011
강일리버파크4단지, 강일동 673,5층,2020 12 31,"     3,811/        25",49.9,15.1,2009,37.567161166492895,127.17639117831699,252.38410596026492,1.6556291390728477,942.4989095340984,0.8347267802701314
강일리버파크5단지, 강일동 670,1층,2020 12 29,"     3,811/        25",49.87,15.1,2009,37.5675908608984,127.178192220257,252.38410596026492,1.6556291390728477,1107.3315921150152,0.5186948462964798
강일리버파크7단지, 강일동 686,6층,2020 12 24,"     8,632/        13",59.87,18.1,2009,37.564788229262,127.178946930382,476.9060773480663,0.718232044198895,734.0248982794247,1.0364264688940439
주성AURA, 중곡동 130-5,5층,2020 1 8,"    30,000/         0",67.76,20.5,2009,37.5556422914254,127.085999741511,1463.4146341463415,0.0,1463.4146341463415,0.0
삼민, 중곡동 609,2층,2020 12 19,"    31,000/         0",59.94,18.1,1995,37.5631025357569,127.08372194655,1712.707182320442,0.0,1281.1857255677476,0.5737063136166275
욱현하이브Ⅲ, 중곡동 699,6층,2020 12 30,"    14,000/         0",15.69,4.7,2012,37.554565783148,127.087867370768,2978.723404255319,0.0,2006.729144850203,3.3474404364661923
중곡1단지, 중곡동 191-77,1층,2020 10 13,"    15,000/         0",57.88,17.5,1976,37.5664085615642,127.07890265696399,857.1428571428571,0.0,578.5714285714286,1.3038548752834467
에스케이, 중곡동 292,10층,2020 7 26,"    53,000/         0",84.6,25.6,1999,37.5687699357737,127.08651701563801,2070.3125,0.0,1479.9335716807911,1.2106340483757063
성원, 중곡동 681,18층,2020 10 10,"    45,000/         0",84.98,25.7,1998,37.5711339388456,127.07962002935601,1750.9727626459144,0.0,1574.4064893838095,0.0
구의현대2단지, 구의동 611,16층,2020 12 29,"    75,000/         0",84.75,25.6,1996,37.53868307856779,127.095914847859,2929.6875,0.0,1996.3031025448029,0.7735704116845126
현대프라임, 구의동 631-1,3층,2020 12 19,"    60,000/         0",59.82,18.1,1997,37.5374260838061,127.097689110595,3314.917127071823,0.0,2070.8846844341283,1.2253740494155592
구의현대7단지현대홈타운, 구의동 587-54,4층,2020 12 19,"    40,950/         0",59.97,18.1,1997,37.5368091643515,127.09091884375,2262.430939226519,0.0,1816.92120481137,1.3330157735202635
구의청정, 구의동 226-12,5층,2020 1 4,"    40,000/         0",84.75,25.6,2004,37.5434483857685,127.08941588161801,1562.5,0.0,1562.5,0.0
스위트빌(71-1), 구의동 71-1,5층,2020 2 8,"     3,000/        40",16.25,4.9,2013,37.54932229155229,127.090400570134,612.2448979591836,8.16326530612245,838.037342596613,7.273122014763352
강변에스케이뷰, 구의동 667,20층,2020 9 17,"    30,000/       220",84.81,25.7,2017,37.5386521189931,127.09014524282699,1167.3151750972763,8.560311284046692,2397.530601491569,1.2016405236705576
아크로리버, 구의동 589-10,37층,2020 12 28,"    90,000/         0",150.6416,45.6,2004,37.5360499099702,127.092875296285,1973.6842105263158,0.0,1884.6174170365678,0.03289473684210526
구의현대6단지, 구의동 610,11층,2020 10 24,"    50,400/         0",84.92,25.7,1994,37.5384465009691,127.09471130562599,1961.0894941634242,0.0,1734.8289559014268,1.5045395590142674
성동강변파크빌101(강변타워), 구의동 657,4층,2020 12 28,"    59,000/         0",59.92,18.1,2001,37.5378527042939,127.092771512476,3259.6685082872928,0.0,2147.173836367462,0.3208775426921145
아차산한라아파트, 구의동 662,1층,2020 10 15,"    45,000/         0",80.55,24.4,2009,37.5540250522708,127.097067426909,1844.2622950819673,0.0,1648.6956804579756,0.819672131147541
